Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Автолампы,d55a7b42-fd05-11eb-0a80-07420013f9c3,Товар,1-015408,Лампа 12 В H1  55 Вт Lynx,В97258и,L10155,шт,"120,00","77,00",Лампа 12 В H1  55 Вт Lynx,"90,00",Япония,20,"ООО ""ТД ВОСХОД""","0,01",0,43,6,2,2,LYNXauto,97258и,L10155,1,L10155
КАТЕГОРИИ ТОВАРОВ/Автолампы,e38ae62e-fd08-11eb-0a80-07420016254d,Товар,1-015251,Лампа 12 В 21 Вт 1-контактная без цоколя 10 шт. Goodyear,В132228a,GY015221,компл,"70,00","48,26",Лампа 12 В 21 Вт 1-контактная без цоколя 10 шт. Goodyear,"60,00",,20,"ООО ""ТД ВОСХОД""","0,01","0,0005",43,14,6,6,GOODYEAR,132228a,GY015221,1,GY015221
КАТЕГОРИИ ТОВАРОВ/Автолампы,ec8673ec-fd08-11eb-0a80-074200162b07,Товар,1-004394,Блок розжига AVS premium slim DC 1 шт. 12/35 Вт A разъем KET LL-09A,В117568h,A78086S,шт,"710,00","496,00",Блок розжига AVS premium slim DC 1 шт. 12/35 Вт A разъем KET LL-09A,"550,00",Китай,20,"ООО ""ТД ВОСХОД""","0,25","0,0005",43,9,3,18,AVS,117568h,A78086S,1,A78086S
КАТЕГОРИИ ТОВАРОВ/Автолампы,f8110aa2-fd07-11eb-0a80-0742001580e3,Товар,1-015401,Лампа 12 В H1  55 Вт (5000К) дальнего света галогенная 2 шт. бокс Atlas AVS A78905S,В129034a,A78905S,компл,"430,00","295,00",Лампа 12 В H1  55 Вт (5000К) дальнего света галогенная 2 шт. бокс Atlas AVS A78905S,"330,00",Китай,20,"ООО ""ТД ВОСХОД""","0,03","0,0006",43,11,10,5,AVS,129034a,A78905S,1,A78905S
КАТЕГОРИИ ТОВАРОВ/Автолампы,075bba71-9bd4-11ed-0a80-1026000bb151,Товар,1-301006,Патрон лампы на панель приборов бесцокольный ВАЗ 2108,В9049v,9049v,шт,"20,00","12,30",Патрон лампы на панель приборов бесцокольный ВАЗ 2108,"20,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Тольятти,9049v,,1,9049v
КАТЕГОРИИ ТОВАРОВ/Автолампы,088f6251-fd06-11eb-0a80-0742001420f5,Товар,1-015858,Лампа 12 В H7  55 Вт галогенная Standart Xenite 1007014,В51968a,1007014,шт,"170,00","112,50",Лампа 12 В H7  55 Вт галогенная Standart Xenite 1007014,"130,00",Китай,20,"ООО ""ТД ВОСХОД""","0,016","0,00008",43,"3,5","3,5","6,5",Xenite,51968a,1007014,1,1007014
КАТЕГОРИИ ТОВАРОВ/Автолампы,09d7a2bc-fd06-11eb-0a80-07420014225e,Товар,1-015803,Лампа 12В H7  55Вт +30% галогенная Диалуч,В25360a,12557,шт,"150,00","104,66",Лампа 12В H7  55Вт +30% галогенная Диалуч,"120,00",Китай,20,"ООО ""ТД ВОСХОД""","0,016","0,0001",43,6,"3,5","3,5",Диалуч,25360a,12557Рlus,1,12557
КАТЕГОРИИ ТОВАРОВ/Автолампы,0b04f391-fd09-11eb-0a80-074200163a1a,Товар,1-015708,Лампа 12 В H4  60/55 Вт Р43 +60% PR BR галогенная 2 шт. Диалуч,В41796a,12604 PR BR DUO,компл,"760,00","526,21",Лампа 12 В H4  60/55 Вт Р43 +60% PR BR галогенная 2 шт. Диалуч,"580,00","Корея, Республика",20,"ООО ""ТД ВОСХОД""","0,05","0,0007",43,12,11,5,Диалуч,41796a,12604 PR BR DUO,1,12604 PR BR DUO
КАТЕГОРИИ ТОВАРОВ/Автолампы,0d4509a0-3fa1-11ec-0a80-00d300523db2,Товар,2-119320,"Лампа подсветки P21W 12V 21W ""OSRAM"" (1 шт.)",007845,7506,шт,"100,00","48,50","Лампа подсветки P21W 12V 21W ""OSRAM"" (1 шт.)","60,00",,20,"ООО ""АВТО-ТРАСТ""",42,0,100,25,15,15,OSRAM,007845,7506,1,7506
КАТЕГОРИИ ТОВАРОВ/Автолампы,0f34ffa6-3fa1-11ec-0a80-00d30052401e,Товар,2-119351,"Лампа подсветки PY21W 12V 21W ""AVS"" Vegas (BAU15S orange) (2 шт.)",342812,A78476S,компл,"100,00","47,50","Лампа подсветки PY21W 12V 21W ""AVS"" Vegas (BAU15S orange) (2 шт.)","60,00",,20,"ООО ""АВТО-ТРАСТ""",25,0,100,135,95,20,AVS,342812,A78476S,1,A78476S
КАТЕГОРИИ ТОВАРОВ/Автолампы,0f868338-fd06-11eb-0a80-0742001424bb,Товар,1-015859,Лампа 12 В H7  55 Вт галогенная Vegas AVS A78143S,В48809a,A78143S,шт,"190,00","128,00",Лампа 12 В H7  55 Вт галогенная Vegas AVS A78143S,"150,00",Китай,20,"ООО ""ТД ВОСХОД""","0,015","0,0001",43,6,"3,5","3,5",AVS,48809a,A78143S,1,A78143S
КАТЕГОРИИ ТОВАРОВ/Автолампы,10523311-9bd4-11ed-0a80-1026000bb461,Товар,1-301405,Светодиод 12В 21Вт без цоколя 1-конт. белый  9 SMD (стоп-сигнал) Skyway ST20-1156-9LED W,ВST20-1156-9LED W,,шт,"50,00","28,20",Светодиод 12В 21Вт без цоколя 1-конт. белый  9 SMD (стоп-сигнал) Skyway ST20-1156-9LED W,"40,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Нет бренда,ST20-1156-9LED W,,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,15466124-9bd4-11ed-0a80-1026000bb5c2,Товар,ПР-000476,Лампа Н4 12-60+55АКГ Р43 INTERSVET,ТАС20000014,Н4 12-60/55 43й,шт,"50,00","29,26",Лампа Н4 12-60+55АКГ Р43 INTERSVET,"40,00",Китай,20,ИП Лукаш Татьяна Юрьевна,0,0,43,,,,INTERSVET,20000014,,1,Н4 12-60/55 43й
КАТЕГОРИИ ТОВАРОВ/Автолампы,15e1647b-fd06-11eb-0a80-074200142adc,Товар,1-015748,Лампа 12 В H4  60/55 Вт Р43 галогенная Xenite,В51673a,1007013,шт,"160,00","111,22",Лампа 12 В H4  60/55 Вт Р43 галогенная Xenite,"130,00",Китай,20,"ООО ""ТД ВОСХОД""","0,02","0,0001",43,8,4,4,Xenite,51673a,1007013,1,1007013
